11个城市,北京,天津,成都,西安,淄博,长沙,唐山,济南,保定,贵阳,合肥,长春,石家庄,苏州,郑州,茂名,扬州,莆田,绍兴,阜阳,上海,广州,南京,汕头,杭州,武汉,深圳,佛山,南昌,太原,厦门,盐城,襄阳,重庆,沈阳,大连,昆明,南宁,无锡,枣庄,宁波,南通,哈尔滨,青岛,连云港,淮安,常州,临沂,乌鲁木齐,徐州
时间,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
degree,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
24,124.5,69,176.3,79.1,47.8,201.9,39.3,66.9,134,66.7,249.4,53.4,84.9,56.6,96.9,190,90.2,48,122.6,131.5,39.7,112.8,40.8,65.5,104.6,89.8,64.1,170,132.9,85,98.9,50,146,71.4,59.2,63.2,32.9,92.9,58.1,100,87.8,60.3,108.5,15.5,34.8,55.6,49.5,43.2,60.7,53.3
23,127.7,63.4,174.8,79.2,56.4,244.4,36.4,86.2,137.9,72.9,262.8,55,87.1,55.6,97,215.6,79.1,64.6,125.5,138,40.7,127,39.8,66,93.8,96.1,67.1,175,120.5,99.7,122.2,65.2,152.9,71.9,60.5,71.4,41.7,117.9,63.7,133.3,98.2,98.5,113.6,24,43.2,59.6,50.4,44.8,58.3,55.7
22,133.6,59.2,175.5,79.7,64.1,293.2,36.9,88,135.7,70,213,53.4,90.3,54.7,93.8,203.9,73.5,60,117.2,127.5,42.6,132.9,37.3,70.5,89.1,100,65.2,158.6,109.6,95.7,117.8,76.1,153.8,76,68.4,88.2,39,146.4,58.5,120.6,102.7,147.1,117.3,28.1,41.3,62,41.8,48.7,61.7,56.7
21,146.1,56.4,177.5,80.1,72,306.1,42.6,94.8,122.3,72.9,136.1,49.7,85,53.3,94.5,161,80,60.9,105.8,106.5,38.7,138.6,41.8,73.3,60.8,104,65.5,145.6,106.8,86.4,127.1,56.5,158.7,77.6,55.9,93,40,151.7,52.8,100,92.8,141.9,107,22.5,38,61.9,38.7,52.9,62.4,56.4
20,162.5,55.2,177.9,81.5,68.8,323.6,43.8,101.3,110.7,74.2,100,50,73.1,47.7,94.4,142.7,91,70,106,107.5,40.4,130.8,46.9,74,48.1,106.5,62.4,147,107.3,82.4,140,47.9,156.1,81.8,45.6,94.4,44.7,172.2,57.6,79.4,96.4,64.3,99.7,19.7,30,33.3,36.4,60,53.2,54.8
19,156.4,59.6,175.2,86.8,70.6,336.2,46.2,110.7,112.2,71.9,91,55.9,82.1,44.2,92.8,132.9,111.1,65,105.2,87.9,38.9,137.5,61.7,71.1,45.3,107.3,60.9,144.5,112.5,81.9,157.5,35.4,157,84.1,46.1,101.4,42,193.9,59.1,102.9,89.2,46.4,90.2,24,26.9,38.1,37,61.2,60.3,51.6
18,166.3,65.1,169.6,86.8,76.6,303.2,56.7,107.4,118.6,77.3,74.1,61.4,79.5,46.4,89.3,133.3,132,73.7,103.7,91.1,35.7,143.5,70.1,74.3,38.3,108.8,65.4,138.9,115.3,79.6,140,33.3,153.9,93.4,52.2,109.9,34.1,217,68.8,97.4,91.1,57.1,87.4,24,21.4,45.7,37.6,70,63.9,54.8
17,186.7,80.2,167.2,89.9,81.9,317.4,57.3,141.8,130.9,94,67.1,57.1,90.1,46.4,84.1,230,147.7,80,105.2,103.8,33.3,146.3,59.3,66.7,35.6,107.7,70.8,158.8,112.1,57,132.5,37.5,137.4,100,63.8,122.7,40,226.4,68.6,136.8,94.8,81,81.1,29.1,29.2,66.7,44.4,82.7,76.1,60.5
16,212.9,119.2,162.1,93,85,304.9,83.1,180.9,155.9,106.9,70.9,50,90,45.7,78.8,244.7,148.8,85.7,53.4,121.2,34.6,145.5,60.4,60,35.6,108.6,68.4,151.8,112.5,76,130,43.8,130.2,108.4,78.5,145.7,37.5,251.4,100,140.9,92.7,143.5,74.4,43.7,39.5,84.6,59.7,82.4,101.6,63
